Date,Month,Day,YearShort,Outflow,Inflow,Year,waterYear
2/13/17,2,13,17,99998.62,14441.16,2017,2017
2/12/17,2,12,17,69130.92,69167.22,2017,2017
2/11/17,2,11,17,59472.22,84436.71,2017,2017
2/10/17,2,10,17,60697.33,127679.02,2017,2017
2/9/17,2,9,17,34252.63,155497.56,2017,2017
2/8/17,2,8,17,11687.44,101841.33,2017,2017
2/7/17,2,7,17,27424.79,106845.12,2017,2017
2/6/17,2,6,17,38741.16,48794.62,2017,2017
2/5/17,2,5,17,29910.8,30855.6,2017,2017
2/4/17,2,4,17,30014.16,36026.77,2017,2017
2/3/17,2,3,17,25772.15,20209.76,2017,2017
2/2/17,2,2,17,20462.85,9381.41,2017,2017
2/1/17,2,1,17,20187.07,8644.33,2017,2017
1/31/17,1,31,17,17077.41,8299.99,2017,2017
1/30/17,1,30,17,13078.92,8862.12,2017,2017
1/29/17,1,29,17,11416.7,8419.98,2017,2017
1/28/17,1,28,17,11366.29,9191.34,2017,2017
1/27/17,1,27,17,11116.73,9627.44,2017,2017
1/26/17,1,26,17,11331,11429.81,2017,2017
1/25/17,1,25,17,11150.51,10552.07,2017,2017
1/24/17,1,24,17,11098.58,13950.11,2017,2017
1/23/17,1,23,17,11031.02,17240.76,2017,2017
1/22/17,1,22,17,11053.2,20571.24,2017,2017
1/21/17,1,21,17,11081.44,18451.75,2017,2017
1/20/17,1,20,17,12715.92,20351.43,2017,2017
1/19/17,1,19,17,14333.27,20379.15,2017,2017
1/18/17,1,18,17,17730.3,16459.31,2017,2017
1/17/17,1,17,17,19784.75,13712.65,2017,2017
1/16/17,1,16,17,19768.11,15873.98,2017,2017
1/15/17,1,15,17,19764.58,17670.3,2017,2017
1/14/17,1,14,17,21309.83,23565.45,2017,2017
1/13/17,1,13,17,15520.57,29000.79,2017,2017
1/12/17,1,12,17,7314.86,37992.99,2017,2017
1/11/17,1,11,17,3316.87,69631.05,2017,2017
1/10/17,1,10,17,1599.19,89197.5,2017,2017
1/9/17,1,9,17,1623.9,92011.21,2017,2017
1/8/17,1,8,17,1366.27,91919.96,2017,2017
1/7/17,1,7,17,1452.99,18431.59,2017,2017
1/6/17,1,6,17,1993.45,2026.72,2017,2017
1/5/17,1,5,17,1932.44,11796.84,2017,2017
1/4/17,1,4,17,2020.17,13115.22,2017,2017
1/3/17,1,3,17,2142.68,6186.04,2017,2017
1/2/17,1,2,17,1954.12,4458.29,2017,2017
1/1/17,1,1,17,2139.15,4538.45,2017,2017
12/31/16,12,31,16,2017.14,4732.55,2016,2017
12/30/16,12,30,16,2059.49,4614.58,2016,2017
12/29/16,12,29,16,2051.93,4949.84,2016,2017
12/28/16,12,28,16,2115.46,4934.72,2016,2017
12/27/16,12,27,16,2131.59,5037.06,2016,2017
12/26/16,12,26,16,2118.98,5532.15,2016,2017
12/25/16,12,25,16,2171.92,6358.97,2016,2017
12/24/16,12,24,16,2279.81,7128.82,2016,2017
12/23/16,12,23,16,2273.76,8091.77,2016,2017
12/22/16,12,22,16,1645.07,7073.87,2016,2017
12/21/16,12,21,16,1656.17,7832.13,2016,2017
12/20/16,12,20,16,1671.8,8523.33,2016,2017
12/19/16,12,19,16,1854.3,10297.47,2016,2017
12/18/16,12,18,16,1894.13,12709.37,2016,2017
12/17/16,12,17,16,1836.66,19915.83,2016,2017
12/16/16,12,16,16,1860.85,47170.21,2016,2017
12/15/16,12,15,16,1696.5,52030.32,2016,2017
12/14/16,12,14,16,2120.5,10444.18,2016,2017
12/13/16,12,13,16,2273.76,7227.64,2016,2017
12/12/16,12,12,16,4907.09,12632.84,2016,2017
12/11/16,12,11,16,2528.67,20395.59,2016,2017
12/10/16,12,10,16,2156.09,38295.79,2016,2017
12/9/16,12,9,16,3371.07,7271.75,2016,2017
12/8/16,12,8,16,3345.35,2462.57,2016,2017
12/7/16,12,7,16,3245.53,1842.45,2016,2017
12/6/16,12,6,16,2806.41,1698.77,2016,2017
12/5/16,12,5,16,3372.63,1512.28,2016,2017
12/4/16,12,4,16,3468.42,2237.26,2016,2017
12/3/16,12,3,16,3465.9,1760.32,2016,2017
12/2/16,12,2,16,3463.38,1551.1,2016,2017
12/1/16,12,1,16,3660,1723.52,2016,2017
11/30/16,11,30,16,3714.45,2337.59,2016,2017
11/29/16,11,29,16,3516.31,2240.28,2016,2017
11/28/16,11,28,16,3532.5,3025.31,2016,2017
11/27/16,11,27,16,3544.09,3123.12,2016,2017
11/26/16,11,26,16,3501.24,2517.12,2016,2017
11/25/16,11,25,16,4328.06,2212.61,2016,2017
11/24/16,11,24,16,3562.7,2836.2,2016,2017
11/23/16,11,23,16,3584.38,2994.51,2016,2017
11/22/16,11,22,16,3627.23,2159.12,2016,2017
11/21/16,11,21,16,3001.06,4131.89,2016,2017
11/20/16,11,20,16,3765.87,2941.57,2016,2017
